PATTERN,COUNT
D0586949U0004501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALCOL_FX_S_045,3
D0586956U0004801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALWRECCOL_FX_S_048,13
D0586957U0004901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALWRECROW_FY_S_049,1
D0586963U0018401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FX_C_184,4
D0586964U0019101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FX_CS_191,1
D0586966U0018901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FX_S_189,1
D0586983U0003101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHG_FY_S_031,1
D0586984U0006901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_C_069,2
D0586989U0008701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FY_CS_087,1
D0587003U0002201_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_PMOVI_FY_C_022,1
D0587004U0002801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_PMOVI_FY_CS_028,1
D0587048U0003401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SLIDEDIAG_FY_S_034,1
D0587065U0004301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_WALKCOL_FX_S_043,2
D0587066U0004401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_WALKDIAG_FY_S_044,1
D0587067U0004201_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_WALKROW_FY_S_042,5
D0587156U0037804_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_LRU_SIWS_CFTR_FX_S_378,1
D0587163U0038904_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_LRU_SIWS_CFWD_FY_S_389,1
D0587167U0038204_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_LRU_SIWS_LONG_FX_S_382,1
D0587202U0004503_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_STA_GALCOL_FX_S_045,8
D0587208U0004803_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_STA_GALWRECCOL_FX_S_048,1
D0587216U0019103_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_STA_LINKED_FX_CS_191,1
D0587317U0004303_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_STA_WALKCOL_FX_S_043,1
D1242172U0091401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FXB_C_2C_914,3
D1242174U0091501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FXB_C_3C_915,21
