P2242738,1,P2242738,1
P2252728,1,P2252728,1
P2449470,1,P2449470,1
P2468324,1,P2468324,1
P2430014,1,P2430014,1
P2261478,1,P2261478,1
P2452690,1,P2452690,1
P2437746,1,P2437746,1
P2430274,1,P2430274,1
P2244218,1,P2244218,1
P2246788,1,P2246788,1
P2449480,1,P2449480,1
P2261928,1,P2261928,1
P2396854,1,P2396854,1
P2448630,1,P2448630,1
P2249118,1,P2249118,1
P2254138,1,P2254138,1
P2468204,1,P2468204,1
P2259438,1,P2259438,1
P2210378,1,P2210378,1
P2245948,1,P2245948,1
P2452700,1,P2452700,1
P2434856,1,P2434856,1
P2422612,1,P2422612,1
P2329388,1,P2329388,1
P2253138,1,P2253138,1
P2244258,1,P2244258,1
P2802234,1,P2802234,1
P2257668,1,P2257668,1
P2437606,1,P2437606,1
P2434766,1,P2434766,1
P2323998,1,P2323998,1
P2463724,1,P2463724,1
P2397124,1,P2397124,1
P2396084,1,P2396084,1
P2396234,1,P2396234,1
P2326188,1,P2326188,1
P2433986,1,P2433986,1
P2324588,1,P2324588,1
P2447410,1,P2447410,1
P2469754,1,P2469754,1
P2445490,1,P2445490,1
P2463754,1,P2463754,1
P2245568,1,P2245568,1
P2429384,1,P2429384,1
P2440776,1,P2440776,1
P2243008,1,P2243008,1
P2324598,1,P2324598,1
P2430364,1,P2430364,1
P2245118,1,P2245118,1
P2247128,1,P2247128,1
P2447110,1,P2447110,1
P2481398,1,P2481398,1
P2242858,1,P2242858,1
P2248568,1,P2248568,1
P2324568,1,P2324568,1
P2246978,1,P2246978,1
P2478598,1,P2478598,1
P2452670,1,P2452670,1
P2243368,1,P2243368,1
P2468224,1,P2468224,1
P2314818,1,P2314818,1
P2487158,1,P2487158,1
P2451810,1,P2451810,1
P2429564,1,P2429564,1
P2468294,1,P2468294,1
P2245398,1,P2245398,1
P2429374,1,P2429374,1
P2437586,1,P2437586,1
P2247438,1,P2247438,1
P2430054,1,P2430054,1
P2387948,1,P2387948,1
P2252698,1,P2252698,1
P2434036,1,P2434036,1
P2217498,1,P2217498,1
P2482132,1,P2482132,1
P2246588,1,P2246588,1
P2801754,1,P2801754,1
P2429654,1,P2429654,1
P2259688,1,P2259688,1
P2255418,1,P2255418,1
P2244928,1,P2244928,1
P2449090,1,P2449090,1
P2243998,1,P2243998,1
P2430444,1,P2430444,1
P2467924,1,P2467924,1
P2400150,1,P2400150,1
P6013449,1,P6013449,1
P2463444,1,P2463444,1
P2808851,1,P2808851,1
P2325028,1,P2325028,1
P2430324,1,P2430324,1
P2463744,1,P2463744,1
P2430564,1,P2430564,1
P2802219,1,P2802219,1
